outcome,team,r.squared
grit,malte ,0.037248618120270804
grit,mannyg ,-2.220446049250313e-16
grit,maria_yr ,1.4730439090726577e-12
grit,mb298 ,0.0027642225144758337
grit,mdb ,-2.220446049250313e-16
grit,mdrc ,1.4730439090726577e-12
grit,mkapoor ,-0.33525525124459676
grit,mloyola ,0.0032904590240990794
grit,mogwai ,0.020883730602418216
grit,mollylewis ,0.007053203843970013
grit,mrytting ,-0.7022429219996711
grit,mwhuhn ,-2.220446049250313e-16
grit,myeomans ,1.4730439090726577e-12
grit,NaijiaLiu ,-0.023198984862149885
grit,neamah ,-1.1396965551893725
grit,nmandell ,0.045373586645745534
grit,nperina ,-0.004843552092865799
grit,ovarol ,0.023216075335510955
grit,Pentlandians ,0.042821063664784886
grit,phoebs ,0.030460812224573863
grit,pkrafft ,4.6342159860668364e-4
grit,ppz ,-0.08200652369887518
grit,prakhar ,1.4730439090726577e-12
grit,pups33 ,0.018778790087897956
grit,rbamos ,0.004795264397023824
grit,rcompton ,-0.05304238100987102
grit,red_potato85 ,-0.06659985387624667
grit,rfjz ,0.012550506768730263
grit,rtodd ,1.4730439090726577e-12
grit,ruoyangp ,1.4730439090726577e-12
grit,ryanh ,2.4424906541753444e-13
grit,ryanjgallag ,2.4424906541753444e-13
grit,samantha_malte ,0.011201111253502094
grit,sender ,0.0026883823132536344
grit,shashim ,5.960522436261328e-4
grit,shausen ,0.0326994637395861
grit,siemann ,0.002688382381554111
grit,signoret ,-0.6706060066243262
grit,siqbal16 ,-0.002313582730785635
grit,smalamut ,-4.721550687385445e-4
grit,soc383 ,0.014947754250672296
grit,spike_slab_team ,-23.14463934497198
grit,sw2009 ,-2.220446049250313e-16
grit,sy ,0.058512474497284694
grit,t.f.schaffner ,0.03563160222301376
grit,Tamkinat ,0.03319077043995311
grit,tdavidson ,-2.220446049250313e-16
grit,the_Brit ,0.04147715819838127
grit,TheLoneCodeman ,-0.3255028473958037
grit,Tina_the_Llama ,0.0020294367587281315
grit,tongwang ,-0.004515242761142346
grit,user ,-1.906938040878714e-4
grit,user1 ,-4.721550687385445e-4
grit,vharman2 ,6.967517965515979e-4
grit,visseho ,-0.0069481922093725945
grit,weggert ,-0.03922539398980862
grit,wjlei1990 ,0.05380352173897118
grit,wnowak ,1.4730439090726577e-12
grit,wrcCOS424 ,-0.09110628597586778
grit,yaboybillnye ,-0.06626822618617423
grit,yjpeng ,0.052099484535970464
grit,yuex ,2.4424906541753444e-13
grit,zn2146 ,-2.220446049250313e-16
materialHardship,ADSgrp5 ,0.22860850737379712
materialHardship,aemack ,0.1631450100461832
materialHardship,agalle ,0.05528337470909794
materialHardship,alexlibby ,-0.13820836834969152
materialHardship,alhajri ,0.05657984599009791
materialHardship,Alpaca_CultureAsAWoolkit ,0.06073168902424653
materialHardship,amaatouq ,0.1972985505514584
materialHardship,amagann ,2.7936009061590994e-10
materialHardship,amcz ,2.7936009061590994e-10
materialHardship,amorgan ,0.035796380596072486
materialHardship,amusse ,0.055283373785713685
materialHardship,Anahit_Sargsyan ,-1051.149436540278
materialHardship,andrewor ,0.14228260080810595
materialHardship,annafil ,1.1102230246251565e-16
materialHardship,aprilfeifei ,0.20361541322189614
materialHardship,au324 ,0.017308044459270033
materialHardship,aurora1994 ,0.17281345559171535
materialHardship,aycai ,0.05528337470909794
materialHardship,azizkag ,-0.5057712549352658
materialHardship,baseline ,1.1102230246251565e-16
materialHardship,bertalan ,-0.23771340541573371
materialHardship,bjgoode ,0.21509687117888676
materialHardship,bleizman ,0.11881481357714352
materialHardship,bnigdeli ,9.889914442950953e-10
materialHardship,brjohns ,0.1604012181532869
materialHardship,Bumblebee2023 ,0
materialHardship,bz247 ,0.09149919976841636
materialHardship,carnegien ,0.12161319705254514
materialHardship,ccgilroy ,1.1102230246251565e-16
materialHardship,chicacvr ,1.1102230246251565e-16
materialHardship,chris ,0.00793151542909909
materialHardship,cjqian ,0.06961286663650201
materialHardship,cnstahl ,-2.347011474057581e-13
materialHardship,datascience ,0.19116763550690197
materialHardship,davidj ,0.2021546201744353
materialHardship,ddmmgg ,0.020789461292886502
materialHardship,devanshg ,0.0347308261486835
materialHardship,dkozuch ,-0.020524966778131093
materialHardship,dliu18 ,-2.347011474057581e-13
materialHardship,dremalt ,0.19516832672585016
materialHardship,drigobon ,0.17722008873016348
materialHardship,DS ,-1.1166037741757107
materialHardship,eaman ,0.2053590366868452
materialHardship,ec ,-0.06094104631645059
materialHardship,echiou ,1.1102230246251565e-16
materialHardship,edz ,1.1102230246251565e-16
materialHardship,ehk02004 ,0.038524380457833796
materialHardship,ekaban15 ,9.889914442950953e-10
materialHardship,err ,-0.06800289516132252
materialHardship,ETsurkov ,0.07454980093565977
materialHardship,FormidableFamily ,0.09087366421808196
materialHardship,fperraudeau ,0.05238125937391469
materialHardship,fw ,-0.06010872026609704
materialHardship,ggundersen ,-0.5057712549352658
materialHardship,ghe ,-3.129497620530766
materialHardship,greg.faletto ,0.07439275163956849
materialHardship,gregversteeg ,-0.02346363672656926
materialHardship,gsharma298 ,-9.813207414178068
materialHardship,gturunc16 ,2.7936009061590994e-10
materialHardship,gulnihaltuzun ,9.889914442950953e-10
materialHardship,gwaldrop ,0.21366043355724862
materialHardship,haixiaow ,0.2318711560307446
materialHardship,hamidrezaomidvar ,-0.09896611465399108
materialHardship,hchai ,-9.183199476908815
materialHardship,hesohn ,-1.1399028387870658e-9
materialHardship,hinthornw ,-0.07717117205534296
materialHardship,hty ,0.055282357549978234
materialHardship,ihorwitz ,0.009393250925819552
materialHardship,is2548_is ,1.1102230246251565e-16
materialHardship,IU_Sociology ,0.031398827679438246
materialHardship,jeremyfreese ,0.16844821182686132
materialHardship,jeremykanter ,2.7936009061590994e-10
materialHardship,jgagne ,0.18904986214711406
materialHardship,jlhillny ,0.13801405384192833
materialHardship,jmels13 ,-1.1399028387870658e-9
materialHardship,jnchen ,-0.06507703691356226
materialHardship,joshua_becker_upenn ,2.7936009061590994e-10
materialHardship,joshua800 ,-0.3037014023880671
materialHardship,Justajwu ,0.17246044566552754
materialHardship,jzrf ,0.08547504950580576
materialHardship,KAG ,0.1535379941592282
materialHardship,kapoor ,0.1733635846249051
materialHardship,karenfeng ,-0.0018879823523050288
materialHardship,karipuf ,0.17511874425132612
materialHardship,katamg ,0.19183961670698246
materialHardship,Katy_P ,0.04559613216974712
materialHardship,kgenova ,-0.063695758758193
materialHardship,khiguera ,0.04363894732512419
materialHardship,kivan ,-2.7895965316026667
materialHardship,kouyang ,0.17501831371542875
materialHardship,largyle ,0.045170701896270815
materialHardship,lazs ,-0.06929554315023778
materialHardship,lbb285 ,0.14571496586544774
materialHardship,lennyc ,0.004632973306514354
materialHardship,lkermode ,-1.6171282438664916
materialHardship,LouisR ,0.19543723172647698
materialHardship,lpschnab ,2.7936009061590994e-10
materialHardship,mackl ,2.7936009061590994e-10
materialHardship,malte ,0.20325789089394786
materialHardship,mannyg ,1.1102230246251565e-16
materialHardship,maria_yr ,2.7936009061590994e-10
materialHardship,mb298 ,0.05806221471137629
materialHardship,mdb ,0.02674878264135505
materialHardship,mdrc ,2.7936009061590994e-10
materialHardship,mkapoor ,-0.5057712549352658
materialHardship,mloyola ,2.7936009061590994e-10
materialHardship,mogwai ,2.7936009061590994e-10
materialHardship,mollylewis ,2.7936009061590994e-10
materialHardship,mrytting ,-0.1742823374125957
materialHardship,mwhuhn ,0.10022096041713946
materialHardship,myeomans ,0.035796380603598354
materialHardship,NaijiaLiu ,-0.09896611471606587
materialHardship,neamah ,0.0361538570913037
materialHardship,nmandell ,0.18896823990813016
materialHardship,nperina ,2.7936009061590994e-10
materialHardship,ovarol ,0.2017752521977132
materialHardship,Pentlandians ,0.2014565312181913
materialHardship,phoebs ,2.7936009061590994e-10
materialHardship,pkrafft ,0.007257963165202219
materialHardship,ppz ,-0.09540740395793113
materialHardship,prakhar ,2.7936009061590994e-10
materialHardship,pups33 ,0.13669754737829476
materialHardship,rbamos ,-0.06179105748405522
materialHardship,rcompton ,0.07357034791660477
materialHardship,red_potato85 ,-0.6476989078065254
materialHardship,rfjz ,0.17533073011407974
materialHardship,rtodd ,2.7936009061590994e-10
