extension,symbol,n,class1,class2,unsure,notes
py,sklearn.utils,4,prep,pack,,
r,hmisc,4,prep,pack,,
py,cpickle,3,prep,pack,,
py,nltk,3,prep,pack,,
py,sklearn.datasets,3,prep,pack,,
py,statsmodels.stats,3,prep,pack,,
r,cvtools,3,prep,pack,,
r,knitr,3,prep,pack,,
py,__version__,2,prep,pack,,
py,sklearn.calibration,2,prep,pack,,
py,zipfile,2,prep,pack,,
r,dmwr,2,prep,pack,,
r,elasticnet,2,prep,pack,,
r,foreign,2,prep,pack,,
r,gridextra,2,prep,pack,,
r,mlbench,2,prep,pack,,
r,partykit,2,prep,pack,,
py,json,1,prep,pack,,
py,pandas.core.missing,1,prep,pack,,
py,preprocess,1,prep,pack,,
py,scikit,1,prep,pack,,
py,sklearn.exceptions,1,prep,pack,,
py,sklearn.externals.six,1,prep,pack,,
py,sklearn.utils.extmath,1,prep,pack,,
py,statsmodels.api,1,prep,pack,,
py,statsmodels.regression.linear_model,1,prep,pack,,
r,broom,1,prep,pack,,
r,c50,1,prep,pack,,
r,car,1,prep,pack,,
r,caretensemble,1,prep,pack,,
r,caretlist,1,prep,pack,,
r,catools,1,prep,pack,,
r,daag,1,prep,pack,,
r,earth,1,prep,pack,,
r,effects,1,prep,pack,,
r,factoextra,1,prep,pack,,
r,factominer,1,prep,pack,,
r,gamboostlss,1,prep,pack,,
r,gamclass,1,prep,pack,,
r,gtable,1,prep,pack,,
r,haven,1,prep,pack,,
r,ipred,1,prep,pack,,
r,kernlab,1,prep,pack,,
r,klar,1,prep,pack,,
r,lattice,1,prep,pack,,
r,lme4,1,prep,pack,,
r,matrixstats,1,prep,pack,,
r,methods,1,prep,pack,,
r,mgcv,1,prep,pack,,
r,mumin,1,prep,pack,,
r,pacman,1,prep,pack,,
r,parallel,1,prep,pack,,
r,ranger,1,prep,pack,,
r,rann,1,prep,pack,,
r,reshape2,1,prep,pack,,
r,rweka,1,prep,pack,,
r,sjmisc,1,prep,pack,,
r,stats,1,prep,pack,,
r,stepplr,1,prep,pack,,
r,tarifx,1,prep,pack,,
r,tidytext,1,prep,pack,,
py,sklearn.linear_model,286,model,,,
r,summary,237,model,interp,,
do,predict,153,model,interp,,
py,sklearn.metrics,151,model,interp,,
py,sklearn.model_selection,110,model,interp,,selection different from interpretation?
r,cv.glmnet,110,model,,,
r,train,110,model,,,
do,logit,98,model,,,
