outcome,team,r.squared,beatingBaseline
gpa,largyle,0.0686922445342204,TRUE
gpa,lazs,0.053710763381725424,TRUE
gpa,lbb285,0.1077503907809646,TRUE
gpa,lennyc,0.01383929768445824,TRUE
gpa,lkermode,-1.2078948305625903,FALSE
gpa,LouisR,0.15267074608097952,TRUE
gpa,lpschnab,0.11621982926045649,TRUE
gpa,mackl,-1.0562395402757829e-10,FALSE
gpa,malte,0.17186663661004753,TRUE
gpa,mannyg,0.1053520554126719,TRUE
gpa,maria_yr,-1.0562395402757829e-10,FALSE
gpa,mb298,0.08763434138089587,TRUE
gpa,mdb,0,FALSE
gpa,mdrc,-1.0562395402757829e-10,FALSE
gpa,mkapoor,-0.1286379581023671,FALSE
gpa,mloyola,0.06698293672648059,TRUE
gpa,mogwai,-1.0562395402757829e-10,FALSE
gpa,mollylewis,-1.0562395402757829e-10,FALSE
gpa,mrytting,-0.6179101951510071,FALSE
gpa,mwhuhn,0,FALSE
gpa,myeomans,0.06141345608708981,TRUE
gpa,NaijiaLiu,0.142143562627995,TRUE
gpa,neamah,-0.7441855721568273,FALSE
gpa,nmandell,0.16653874805369795,TRUE
gpa,nperina,0.09168067538466862,TRUE
gpa,ovarol,0.1818425899499696,TRUE
gpa,Pentlandians,0.1744422637170724,TRUE
gpa,phoebs,-1.0562395402757829e-10,FALSE
gpa,pkrafft,6.306926462680273e-4,TRUE
gpa,ppz,0.09477984147264895,TRUE
gpa,prakhar,-0.38169789504979623,FALSE
gpa,pups33,0.10784865400602572,TRUE
gpa,rbamos,0.09195965885987512,TRUE
gpa,rcompton,0.1353988008346907,TRUE
gpa,red_potato85,-0.023785653025992115,FALSE
gpa,rfjz,0.16490530992777985,TRUE
gpa,rtodd,-1.0562395402757829e-10,FALSE
gpa,ruoyangp,-1.0562395402757829e-10,FALSE
gpa,ryanh,0.06262128650919296,TRUE
gpa,ryanjgallag,-1.2156942119645464e-12,FALSE
gpa,samantha_malte,0.1622492493300468,TRUE
gpa,sender,0.08418786851340432,TRUE
gpa,shashim,6.401503771513717e-10,FALSE
gpa,shausen,0.11132777378041314,TRUE
gpa,siemann,0.08418786849842586,TRUE
gpa,signoret,0.08268253004856796,TRUE
gpa,siqbal16,-2.8942268137654992e-8,FALSE
gpa,smalamut,0.0016092691342788346,TRUE
gpa,soc383,0.1246357706955511,TRUE
gpa,spike_slab_team,0.165836111168838,TRUE
gpa,sw2009,0,FALSE
gpa,sy,0.19134250361335037,TRUE
gpa,t.f.schaffner,0.16987019958667615,TRUE
gpa,Tamkinat,0.10814749361187137,TRUE
gpa,tdavidson,0.09063559968113,TRUE
gpa,the_Brit,0.1466538931619098,TRUE
gpa,TheLoneCodeman,-0.08712039670980265,FALSE
gpa,Tina_the_Llama,0.031677093490123154,TRUE
gpa,tongwang,-0.04493352944066453,FALSE
gpa,user,0.002314485884997608,TRUE
gpa,user1,0.0016092691342788346,TRUE
gpa,vharman2,0.07969261613564205,TRUE
gpa,visseho,-20.04278788633332,FALSE
gpa,weggert,0.13736897707003537,TRUE
gpa,wjlei1990,0.17716247263026175,TRUE
gpa,wnowak,-1.0562395402757829e-10,FALSE
gpa,wrcCOS424,-4.490766976197764,FALSE
gpa,yaboybillnye,-0.18309673978716168,FALSE
gpa,yjpeng,0.1819936822936996,TRUE
gpa,yuex,-1.2156942119645464e-12,FALSE
gpa,zn2146,0,FALSE
grit,ADSgrp5,0.03977150585335498,TRUE
grit,aemack,0.04339972104345702,TRUE
grit,agalle,0.004449201612904519,TRUE
grit,alexlibby,-0.11463732757254452,FALSE
grit,alhajri,-0.003284684993821063,FALSE
